2026-04-27 17:18:23.396 [tp954928973-6265] WARN    com.silabs.java.utils.log.TopicLog - Handling selector command false
2026-04-27 17:18:23.485 [tp954928973-6265] ERROR         <com.silabs.ss.tool.uc.core> - Error Result - NO_SDK: Cannot create context for generation at null with data at /home/ty/SimplicityStudio/BLE_MCU/BLE_MCU/BLE_MCU.slcp because no sdk id is available for it to link to.
2026-04-27 17:18:23.485 [tp954928973-6265] ERROR         <com.silabs.ss.tool.uc.core> - Error Result - NO_SDK: Cannot create context for generation at null with data at /home/ty/SimplicityStudio/BLE_MCU/BLE_MCU/BLE_MCU.slcp because no sdk id is available for it to link to.
2026-04-27 17:18:23.485 [tp954928973-6265] ERROR         <com.silabs.ss.tool.uc.core> - Error Result - NO_SDK: Cannot create context for generation at null with data at /home/ty/SimplicityStudio/BLE_MCU/BLE_MCU/BLE_MCU.slcp because no sdk id is available for it to link to.
2026-04-27 17:18:23.485 [tp954928973-6265] ERROR         <com.silabs.ss.tool.uc.core> - Error Result - NO_SDK: Cannot create context for generation at null with data at /home/ty/SimplicityStudio/BLE_MCU/BLE_MCU/BLE_MCU.slcp because no sdk id is available for it to link to.
2026-04-27 17:18:35.545 [tp954928973-5705] WARN    com.silabs.java.utils.log.TopicLog - Saving project: BLE_MCU
2026-04-27 17:18:35.545 [tp954928973-5705] WARN    com.silabs.java.utils.log.TopicLog - Project Saved!: BLE_MCU
2026-04-27 17:18:35.546 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ucProject] to null
2026-04-27 17:18:35.548 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ucProject to project BLE_MCU: 17:18:35.548094961
2026-04-27 17:18:35.548 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ucProject in project BLE_MCU: Mon Apr 27 17:18:35 GMT+08:00 2026
2026-04-27 17:18:35.671 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 17:18:35.672 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 17:18:35.672765047
2026-04-27 17:18:35.672 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 17:18:35 GMT+08:00 2026
2026-04-27 17:18:35.685 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 13ms
2026-04-27 17:18:35.793 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 17:18:35.794 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 17:18:35.794245006
2026-04-27 17:18:35.794 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 17:18:35 GMT+08:00 2026
2026-04-27 17:18:35.801 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 7ms
